region,category,daily_foot_traffic,competitors,vacancy_rate,trend_index,rent_monthly,expected_sales,equity_ratio,experience_level,franchise_scale,rent_to_sales_ratio,closed_within_24m
부산_해운대,한식,70860,7,20.661208994856178,0,470,1901.6,91.58425631014782,0,2,24.715885818489024,1
경기_성남,치킨,25311,8,6.000338839721009,1,267,1338.2,41.518343245057906,1,1,19.9528810111175,1
서울_송파,한식,96886,4,10.776458127969063,2,393,1610.1,47.9872262016239,2,1,24.409089905319625,1
부산_서면,편의점,55920,5,13.962789787467287,1,243,1027.4,45.910930992468195,1,-1,23.652987101701033,1
서울_마포,치킨,72606,5,7.892274130874979,1,420,1868.9,50.78722458080425,1,1,22.473316026805986,1
서울_강남,카페,110774,9,5.261545997858289,-1,208,1321.7,72.23352577681736,2,2,15.737832885684677,0
경기_수원,치킨,46854,3,9.216085256451409,1,120,700.9,79.0001079101436,1,1,17.120519118176297,0
서울_송파,카페,46910,11,1.0,-1,432,1675.1,76.43805008750448,0,1,25.78901494794331,1
서울_영등포,헬스장,111910,1,11.332358894756172,3,386,2160.1,74.09962622665441,2,0,17.869814046442432,1
서울_영등포,헬스장,82941,7,5.085628342858533,1,277,1383.6,53.44675706804463,2,2,20.020511974734315,1
부산_서면,편의점,23748,3,4.278520914140195,0,130,554.5,18.168006606254714,0,0,23.442949926309016,1
부산_해운대,치킨,159474,9,6.90763783741791,1,312,1784.7,58.31669829637645,2,1,17.48181543953713,1
경기_성남,한식,72662,2,5.322273106073114,2,282,1451.2,59.09194689426327,2,2,19.43237178986416,1
경기_성남,분식,69811,6,15.026897958772974,2,266,1255.6,40.970564987039204,0,2,21.18495523773322,1
부산_해운대,치킨,81111,9,16.113218783625985,1,328,1769.6,39.44578271823022,1,2,18.535447875339525,1
서울_강남,치킨,101616,8,10.439772198132276,3,503,2092.7,70.03192730692345,1,2,24.035717773484762,0
서울_영등포,헬스장,99040,6,15.931810028036471,-1,265,1021.6,63.496660239829424,2,1,25.93932522040981,1
서울_강남,한식,93328,2,18.110169053051827,2,597,3864.0,43.58635363296579,2,1,15.450501226238142,1
서울_송파,헬스장,59830,8,8.322838442643333,2,171,1074.2,100.0,1,0,15.918903850811173,0
서울_송파,한식,113744,6,8.435760502719043,-1,321,2166.5,74.28000988184183,1,2,14.816757524279014,0
서울_강남,한식,135726,9,7.605008011762331,1,452,1850.1,74.20218480727907,2,1,24.430616309839778,1
경기_성남,치킨,76958,6,2.821500911958908,2,234,930.9,36.33920777329895,2,1,25.137156747867884,1
인천_부평,편의점,70993,3,11.36742530782881,-1,232,1321.9,48.88110204450765,3,-1,17.5511558422111,1
부산_해운대,헬스장,188834,5,11.048836014377185,1,352,1279.8,62.81814736142644,1,1,27.503343529537776,1
부산_서면,분식,23051,3,11.515210127073825,0,187,1002.3,100.0,2,2,18.657617237994486,0
서울_송파,카페,113847,7,4.452354830971095,-1,424,2912.6,57.70527117066202,2,1,14.557588795707563,1
인천_부평,치킨,36896,5,8.56768446165688,0,113,765.1,65.42123497484526,2,1,14.768542257379085,0
서울_송파,한식,107215,12,13.106735997023598,1,235,903.0,75.49268106858673,1,1,26.025268292331223,1
경기_수원,치킨,43049,5,13.672263004413564,-1,148,1001.5,100.0,2,1,14.777538030104074,0
서울_마포,카페,89115,6,10.794621416758737,1,309,1777.2,73.24261349042094,1,1,17.38674217387804,0
서울_송파,카페,78304,4,11.45318782900004,1,317,2046.9,47.55525670187442,2,1,15.486915783167326,0
서울_영등포,카페,100692,4,1.0,2,398,2195.3,87.79132677229929,2,0,18.129946711916407,0
부산_서면,헬스장,52479,8,2.2218533107913156,2,116,502.7,72.65704874765423,1,1,23.07429686652133,1
서울_송파,카페,119459,0,7.120965865381301,3,382,2241.8,79.6804708912618,1,1,17.03956428132469,0
경기_수원,편의점,31130,8,14.669392724288539,2,292,1115.2,46.01706843816166,1,1,26.183347482756602,1
서울_마포,한식,88136,5,10.630508108871629,2,223,1113.1,61.65460871600958,1,1,20.034779725815355,0
서울_마포,분식,94693,1,1.0,2,285,1942.4,45.63111557495128,2,1,14.672717650570569,0
인천_부평,편의점,35485,5,5.980589858346247,2,274,1669.6,30.160513490823014,2,2,16.411176073880533,0
서울_송파,분식,101629,3,9.683252633824761,1,340,1709.2,22.06505559634155,0,2,19.89188596616095,1
서울_영등포,편의점,70354,7,5.087305902306798,3,169,1003.7,40.65777890798067,1,2,16.83717761883383,0
인천_부평,헬스장,43959,3,6.5618552987538,2,235,1141.9,44.861878189768085,1,0,20.5806232432626,1
서울_강남,카페,148752,3,1.0,0,411,1548.1,73.59319338326837,3,1,26.548428260237333,1
대구_동성로,치킨,135545,6,17.260109254612374,0,511,2524.0,57.84030071293883,3,1,20.245403000245023,1
대구_동성로,헬스장,76970,10,5.140978325447541,-1,482,1912.8,62.197201460864974,0,-1,25.19854935020175,1
경기_수원,분식,70612,4,14.35994952643249,1,102,403.1,62.40591263423798,1,1,25.30327267172922,1
부산_서면,치킨,78017,7,10.804030277497269,3,261,1417.7,91.02525709465942,1,2,18.410530746801104,0
부산_해운대,분식,109764,3,14.802360219989076,0,597,2119.9,81.16848973699176,1,1,28.161824253070016,1
서울_영등포,카페,93413,0,16.87083163711057,3,179,718.6,66.61401114127864,3,1,24.908106626515327,1
부산_서면,분식,34388,9,1.0,1,273,1028.0,37.97496190305776,1,2,26.55674547589265,1
서울_마포,분식,51314,7,6.288196671392915,0,426,1623.3,44.142543354753116,0,1,26.24355844275485,1
서울_마포,카페,63624,7,18.432445508030774,0,431,2826.3,77.0270852920102,2,0,15.249655500873317,1
부산_서면,헬스장,28717,4,11.344632664428545,2,297,1104.3,91.94225445041621,0,0,26.89477184987818,1
부산_해운대,헬스장,125658,2,1.0,0,438,2663.4,65.19842938271458,2,-1,16.44488486118058,0
대구_동성로,카페,73596,2,1.0,2,411,2128.4,52.179319975390165,1,2,19.310471880913653,0
부산_서면,카페,43275,1,2.0489415174492702,3,162,911.5,59.77545113240724,1,2,17.773217476575642,1
경기_수원,헬스장,21605,1,7.326628443418668,1,191,784.4,51.730975223646006,3,-1,24.349813806958345,1
부산_서면,분식,29111,7,9.405638172529173,3,85,540.6,45.519964067914024,2,2,15.72388295886481,0
부산_서면,치킨,66514,4,5.361633687379073,1,252,1257.2,71.41197337186318,1,0,20.043986387187555,1
인천_부평,헬스장,62533,8,10.0755871536679,1,116,647.1,45.04060020347019,1,1,17.92567385600919,1
부산_서면,치킨,54387,0,9.498281744097941,2,144,904.3,39.52362961021891,0,2,15.923533726379882,0
서울_마포,헬스장,107444,4,1.307116383061265,3,286,1723.3,70.63833784437692,2,2,16.595890924014956,0
